"codigo_producto","nombre","gama","dimensiones","proveedor","descripcion","cantidad_en_stock","precio_venta","precio_proveedor"
"OR-103","Mimosa Semilla Bayleyana   ","Ornamentales","200-225","Viveros EL OASIS","Acacia dealbata. Nombre común o vulgar: Mimosa fina, Mimosa, Mimosa común, Mimosa plateada, Aromo francés. Familia: Mimosaceae. Origen: Australia, Sureste, (N. G. del Sur y Victoria). Arbol de follaje persistente muy usado en parques por su atractiva floración amarilla hacia fines del invierno. Altura: de 3 a 10 metros generalmente. Crecimiento rápido. Follaje perenne de tonos plateados, muy ornamental. Sus hojas son de textura fina, de color verde y sus flores amarillas que aparecen en racimos grandes. Florece de Enero a Marzo (Hemisferio Norte). Legumbre de 5-9 cm de longitud, recta o ligeramente curvada, con los bordes algo constreñidos entre las semillas, que se disponen en el fruto longitudinalmente...",100,10.00,8.00
"OR-104","Mimosa Semilla Cyanophylla    ","Ornamentales","200-225","Viveros EL OASIS","Acacia dealbata. Nombre común o vulgar: Mimosa fina, Mimosa, Mimosa común, Mimosa plateada, Aromo francés. Familia: Mimosaceae. Origen: Australia, Sureste, (N. G. del Sur y Victoria). Arbol de follaje persistente muy usado en parques por su atractiva floración amarilla hacia fines del invierno. Altura: de 3 a 10 metros generalmente. Crecimiento rápido. Follaje perenne de tonos plateados, muy ornamental. Sus hojas son de textura fina, de color verde y sus flores amarillas que aparecen en racimos grandes. Florece de Enero a Marzo (Hemisferio Norte). Legumbre de 5-9 cm de longitud, recta o ligeramente curvada, con los bordes algo constreñidos entre las semillas, que se disponen en el fruto longitudinalmente...",100,10.00,8.00
"OR-105","Mimosa Semilla Espectabilis  ","Ornamentales","160-170","Viveros EL OASIS","Acacia dealbata. Nombre común o vulgar: Mimosa fina, Mimosa, Mimosa común, Mimosa plateada, Aromo francés. Familia: Mimosaceae. Origen: Australia, Sureste, (N. G. del Sur y Victoria). Arbol de follaje persistente muy usado en parques por su atractiva floración amarilla hacia fines del invierno. Altura: de 3 a 10 metros generalmente. Crecimiento rápido. Follaje perenne de tonos plateados, muy ornamental. Sus hojas son de textura fina, de color verde y sus flores amarillas que aparecen en racimos grandes. Florece de Enero a Marzo (Hemisferio Norte). Legumbre de 5-9 cm de longitud, recta o ligeramente curvada, con los bordes algo constreñidos entre las semillas, que se disponen en el fruto longitudinalmente...",100,6.00,4.00
"OR-106","Mimosa Semilla Longifolia   ","Ornamentales","200-225","Viveros EL OASIS","Acacia dealbata. Nombre común o vulgar: Mimosa fina, Mimosa, Mimosa común, Mimosa plateada, Aromo francés. Familia: Mimosaceae. Origen: Australia, Sureste, (N. G. del Sur y Victoria). Arbol de follaje persistente muy usado en parques por su atractiva floración amarilla hacia fines del invierno. Altura: de 3 a 10 metros generalmente. Crecimiento rápido. Follaje perenne de tonos plateados, muy ornamental. Sus hojas son de textura fina, de color verde y sus flores amarillas que aparecen en racimos grandes. Florece de Enero a Marzo (Hemisferio Norte). Legumbre de 5-9 cm de longitud, recta o ligeramente curvada, con los bordes algo constreñidos entre las semillas, que se disponen en el fruto longitudinalmente...",100,10.00,8.00
"OR-107","Mimosa Semilla Floribunda 4 estaciones","Ornamentales","120-140","Viveros EL OASIS","Acacia dealbata. Nombre común o vulgar: Mimosa fina, Mimosa, Mimosa común, Mimosa plateada, Aromo francés. Familia: Mimosaceae. Origen: Australia, Sureste, (N. G. del Sur y Victoria). Arbol de follaje persistente muy usado en parques por su atractiva floración amarilla hacia fines del invierno. Altura: de 3 a 10 metros generalmente. Crecimiento rápido. Follaje perenne de tonos plateados, muy ornamental. Sus hojas son de textura fina, de color verde y sus flores amarillas que aparecen en racimos grandes. Florece de Enero a Marzo (Hemisferio Norte). Legumbre de 5-9 cm de longitud, recta o ligeramente curvada, con los bordes algo constreñidos entre las semillas, que se disponen en el fruto longitudinalmente...",100,6.00,4.00
"OR-108","Abelia Floribunda","Ornamentales","35-45","Viveros EL OASIS","",100,5.00,4.00
"OR-109","Callistemom (Mix)","Ornamentales","35-45","Viveros EL OASIS","Limpitatubos. arbolito de 6-7 m de altura. Ramas flexibles y colgantes (de ahí lo de \""llorón\"")..",100,5.00,4.00
"OR-110","Callistemom (Mix)","Ornamentales","40-60","Viveros EL OASIS","Limpitatubos. arbolito de 6-7 m de altura. Ramas flexibles y colgantes (de ahí lo de \""llorón\"")..",100,2.00,1.00
"OR-111","Corylus Avellana \""Contorta\""","Ornamentales","35-45","Viveros EL OASIS","",100,5.00,4.00
"OR-112","Escallonia (Mix)","Ornamentales","35-45","Viveros EL OASIS","",120,5.00,4.00
"OR-113","Evonimus Emerald Gayeti","Ornamentales","35-45","Viveros EL OASIS","",120,5.00,4.00
"OR-114","Evonimus Pulchellus","Ornamentales","35-45","Viveros EL OASIS","",120,5.00,4.00
"OR-115","Forsytia Intermedia \""Lynwood\""","Ornamentales","35-45","Viveros EL OASIS","",120,7.00,5.00
"OR-116","Hibiscus Syriacus  \""Diana\"" -Blanco Puro","Ornamentales","35-45","Viveros EL OASIS","Por su capacidad de soportar podas, pueden ser fácilmente moldeadas como bonsái en el transcurso de pocos años. Flores de muchos colores según la variedad, desde el blanco puro al rojo intenso, del amarillo al anaranjado. La flor apenas dura 1 día, pero continuamente aparecen nuevas y la floración se prolonga durante todo el periodo de crecimiento vegetativo.",120,7.00,5.00
"OR-117","Hibiscus Syriacus  \""Helene\"" -Blanco-C.rojo","Ornamentales","35-45","Viveros EL OASIS","Por su capacidad de soportar podas, pueden ser fácilmente moldeadas como bonsái en el transcurso de pocos años. Flores de muchos colores según la variedad, desde el blanco puro al rojo intenso, del amarillo al anaranjado. La flor apenas dura 1 día, pero continuamente aparecen nuevas y la floración se prolonga durante todo el periodo de crecimiento vegetativo.",120,7.00,5.00
"OR-119","Laurus Nobilis Arbusto - Ramificado Bajo","Ornamentales","40-50","Viveros EL OASIS","",120,5.00,4.00
"OR-128","Camelia japonica ejemplar","Ornamentales","200-250","Viveros EL OASIS","Arbusto excepcional por su floración otoñal, invernal o primaveral. Flores: Las flores son solitarias, aparecen en el ápice de cada rama, y son con una corola simple o doble, y comprendiendo varios colores. Suelen medir unos 7-12 cm de diÃ metro y tienen 5 sépalos y 5 pétalos. Estambres numerosos unidos en la mitad o en 2/3 de su longitud.",50,98.00,78.00
"OR-129","Camelia japonica ejemplar","Ornamentales","250-300","Viveros EL OASIS","Arbusto excepcional por su floración otoñal, invernal o primaveral. Flores: Las flores son solitarias, aparecen en el ápice de cada rama, y son con una corola simple o doble, y comprendiendo varios colores. Suelen medir unos 7-12 cm de diÃ metro y tienen 5 sépalos y 5 pétalos. Estambres numerosos unidos en la mitad o en 2/3 de su longitud.",50,110.00,88.00
"OR-130","Callistemom COPA","Ornamentales","110/120","Viveros EL OASIS","Limpitatubos. arbolito de 6-7 m de altura. Ramas flexibles y colgantes (de ahí lo de \""llorón\"")..",50,18.00,14.00
"OR-131","Leptospermum formado PIRAMIDE","Ornamentales","80-100","Viveros EL OASIS","",50,18.00,14.00
"OR-132","Leptospermum COPA","Ornamentales","110/120","Viveros EL OASIS","",50,18.00,14.00
"OR-133","Nerium oleander-CALIDAD \""GARDEN\""","Ornamentales","40-45","Viveros EL OASIS","",50,2.00,1.00
"OR-134","Nerium Oleander Arbusto GRANDE","Ornamentales","160-200","Viveros EL OASIS","",100,38.00,30.00
"OR-135","Nerium oleander COPA  Calibre 6/8","Ornamentales","50-60","Viveros EL OASIS","",100,5.00,4.00
"OR-136","Nerium oleander ARBOL Calibre 8/10","Ornamentales","225-250","Viveros EL OASIS","",100,18.00,14.00
"OR-137","ROSAL TREPADOR","Ornamentales","","Viveros EL OASIS","",100,4.00,3.00
"OR-138","Camelia Blanco, Chrysler Rojo, Soraya Naranja, ","Ornamentales","","Viveros EL OASIS","",100,4.00,3.00
"OR-139","Landora Amarillo, Rose Gaujard bicolor blanco-rojo","Ornamentales","","Viveros EL OASIS","",100,4.00,3.00
"OR-140","Kordes Perfect bicolor rojo-amarillo, Roundelay rojo fuerte","Ornamentales","","Viveros EL OASIS","",100,4.00,3.00
"OR-141","Pitimini rojo","Ornamentales","","Viveros EL OASIS","",100,4.00,3.00
"OR-142","Solanum Jazminoide","Ornamentales","150-160","Viveros EL OASIS","",100,2.00,1.00
"OR-143","Wisteria Sinensis  azul, rosa, blanca","Ornamentales","","Viveros EL OASIS","",100,9.00,7.00
"OR-144","Wisteria Sinensis INJERTADAS DECÃ“","Ornamentales","140-150","Viveros EL OASIS","",100,12.00,9.00
"OR-145","Bougamvillea Sanderiana Tutor","Ornamentales","80-100","Viveros EL OASIS","",100,2.00,1.00
"OR-146","Bougamvillea Sanderiana Tutor","Ornamentales","125-150","Viveros EL OASIS","",100,4.00,3.00
"OR-147","Bougamvillea Sanderiana Tutor","Ornamentales","180-200","Viveros EL OASIS","",100,7.00,5.00
"OR-148","Bougamvillea Sanderiana Espaldera","Ornamentales","45-50","Viveros EL OASIS","",100,7.00,5.00
"OR-149","Bougamvillea Sanderiana Espaldera","Ornamentales","140-150","Viveros EL OASIS","",100,17.00,13.00
"OR-150","Bougamvillea roja, naranja","Ornamentales","110-130","Viveros EL OASIS","",100,2.00,1.00
"OR-151","Bougamvillea Sanderiana, 3 tut. piramide","Ornamentales","","Viveros EL OASIS","",100,6.00,4.00
"OR-152","Expositor Árboles clima continental","Ornamentales","170-200","Viveros EL OASIS","",100,6.00,4.00
"OR-153","Expositor Árboles clima mediterráneo","Ornamentales","170-200","Viveros EL OASIS","",100,6.00,4.00
"OR-154","Expositor Árboles borde del mar","Ornamentales","170-200","Viveros EL OASIS","",100,6.00,4.00
"OR-155","Acer Negundo  ","Ornamentales","200-225","Viveros EL OASIS","",100,6.00,4.00
"OR-156","Acer platanoides  ","Ornamentales","200-225","Viveros EL OASIS","",100,10.00,8.00
"OR-157","Acer Pseudoplatanus ","Ornamentales","200-225","Viveros EL OASIS","",100,10.00,8.00
"OR-158","Brachychiton Acerifolius  ","Ornamentales","200-225","Viveros EL OASIS","",100,6.00,4.00
"OR-159","Brachychiton Discolor  ","Ornamentales","200-225","Viveros EL OASIS","",100,6.00,4.00
"OR-160","Brachychiton Rupestris","Ornamentales","170-200","Viveros EL OASIS","",100,10.00,8.00
"OR-161","Cassia Corimbosa  ","Ornamentales","200-225","Viveros EL OASIS","",100,6.00,4.00
"OR-162","Cassia Corimbosa ","Ornamentales","200-225","Viveros EL OASIS","",100,10.00,8.00
"OR-163","Chitalpa Summer Bells   ","Ornamentales","200-225","Viveros EL OASIS","",80,10.00,8.00
"OR-164","Erytrina Kafra","Ornamentales","170-180","Viveros EL OASIS","",80,6.00,4.00
"OR-165","Erytrina Kafra","Ornamentales","200-225","Viveros EL OASIS","",80,10.00,8.00
"OR-166","Eucalyptus Citriodora  ","Ornamentales","170-200","Viveros EL OASIS","",80,6.00,4.00
"OR-167","Eucalyptus Ficifolia  ","Ornamentales","170-200","Viveros EL OASIS","",80,6.00,4.00
"OR-168","Eucalyptus Ficifolia   ","Ornamentales","200-225","Viveros EL OASIS","",80,10.00,8.00
"OR-169","Hibiscus Syriacus  Var. Injertadas 1 Tallo ","Ornamentales","170-200","Viveros EL OASIS","",80,12.00,9.00
"OR-170","Lagunaria Patersonii  ","Ornamentales","140-150","Viveros EL OASIS","",80,6.00,4.00
"OR-171","Lagunaria Patersonii   ","Ornamentales","200-225","Viveros EL OASIS","",80,10.00,8.00
"OR-172","Lagunaria patersonii  calibre 8/10","Ornamentales","200-225","Viveros EL OASIS","",80,18.00,14.00
"OR-173","Morus Alba  ","Ornamentales","200-225","Viveros EL OASIS","",80,6.00,4.00
"OR-174","Morus Alba  calibre 8/10","Ornamentales","200-225","Viveros EL OASIS","",80,18.00,14.00
"OR-175","Platanus Acerifolia   ","Ornamentales","200-225","Viveros EL OASIS","",80,10.00,8.00
"OR-176","Prunus pisardii  ","Ornamentales","200-225","Viveros EL OASIS","",80,10.00,8.00
"OR-177","Robinia Pseudoacacia Casque Rouge   ","Ornamentales","200-225","Viveros EL OASIS","",80,15.00,12.00
"OR-178","Salix Babylonica  Pendula  ","Ornamentales","170-200","Viveros EL OASIS","",80,6.00,4.00
"OR-179","Sesbania Punicea   ","Ornamentales","170-200","Viveros EL OASIS","",80,6.00,4.00
"OR-180","Tamarix  Ramosissima Pink Cascade   ","Ornamentales","170-200","Viveros EL OASIS","",80,6.00,4.00
"OR-181","Tamarix  Ramosissima Pink Cascade   ","Ornamentales","200-225","Viveros EL OASIS","",80,10.00,8.00
"OR-182","Tecoma Stands   ","Ornamentales","200-225","Viveros EL OASIS","",80,6.00,4.00
"OR-183","Tecoma Stands  ","Ornamentales","200-225","Viveros EL OASIS","",80,10.00,8.00
"OR-184","Tipuana Tipu  ","Ornamentales","170-200","Viveros EL OASIS","",80,6.00,4.00
"OR-185","Pleioblastus distichus-Bambú enano","Ornamentales","15-20","Viveros EL OASIS","",80,6.00,4.00
"OR-186","Sasa palmata ","Ornamentales","20-30","Viveros EL OASIS","",80,6.00,4.00
"OR-187","Sasa palmata ","Ornamentales","40-45","Viveros EL OASIS","",80,10.00,8.00
"OR-188","Sasa palmata ","Ornamentales","50-60","Viveros EL OASIS","",80,25.00,20.00
"OR-189","Phylostachys aurea","Ornamentales","180-200","Viveros EL OASIS","",80,22.00,17.00
"OR-190","Phylostachys aurea","Ornamentales","250-300","Viveros EL OASIS","",80,32.00,25.00
"OR-192","Phylostachys biseti","Ornamentales","160-170","Viveros EL OASIS","",80,22.00,17.00
"OR-193","Phylostachys biseti","Ornamentales","160-180","Viveros EL OASIS","",80,20.00,16.00
"OR-194","Pseudosasa japonica (Metake)","Ornamentales","225-250","Viveros EL OASIS","",80,20.00,16.00
"OR-195","Pseudosasa japonica (Metake) ","Ornamentales","30-40","Viveros EL OASIS","",80,6.00,4.00
"OR-196","Cedrus Deodara ","Ornamentales","80-100","Viveros EL OASIS","",80,10.00,8.00
"OR-197","Cedrus Deodara \""Feeling Blue\"" Novedad","Ornamentales","rastrero","Viveros EL OASIS","",80,12.00,9.00
"OR-198","Juniperus chinensis \""Blue Alps\""","Ornamentales","20-30","Viveros EL OASIS","",80,4.00,3.00
"OR-199","Juniperus Chinensis Stricta","Ornamentales","20-30","Viveros EL OASIS","",80,4.00,3.00
"OR-200","Juniperus horizontalis Wiltonii","Ornamentales","20-30","Viveros EL OASIS","",80,4.00,3.00
"OR-201","Juniperus squamata \""Blue Star\""","Ornamentales","20-30","Viveros EL OASIS","",80,4.00,3.00
"OR-202","Juniperus x media Phitzeriana verde","Ornamentales","20-30","Viveros EL OASIS","",80,4.00,3.00
"OR-203","Pinus Canariensis","Ornamentales","80-100","Viveros EL OASIS","",80,10.00,8.00
"OR-204","Pinus Halepensis","Ornamentales","160-180","Viveros EL OASIS","",80,10.00,8.00
"OR-205","Pinus Pinea -Pino Piñonero","Ornamentales","70-80","Viveros EL OASIS","",80,10.00,8.00
"OR-206","Thuja Esmeralda ","Ornamentales","80-100","Viveros EL OASIS","",80,5.00,4.00
"OR-207","Tuja Occidentalis Woodwardii","Ornamentales","20-30","Viveros EL OASIS","",80,4.00,3.00
"OR-208","Tuja orientalis \""Aurea nana\""","Ornamentales","20-30","Viveros EL OASIS","",80,4.00,3.00
"OR-209","Archontophoenix Cunninghamiana","Ornamentales","80 - 100","Viveros EL OASIS","",80,10.00,8.00
"OR-210","Beucarnea Recurvata","Ornamentales","130  - 150","Viveros EL OASIS","",2,39.00,31.00
"OR-211","Beucarnea Recurvata","Ornamentales","180 - 200","Viveros EL OASIS","",5,59.00,47.00
"OR-212","Bismarckia Nobilis","Ornamentales","200 - 220","Viveros EL OASIS","",4,217.00,173.00
"OR-213","Bismarckia Nobilis","Ornamentales","240 - 260","Viveros EL OASIS","",4,266.00,212.00
"OR-214","Brahea Armata","Ornamentales","45 - 60","Viveros EL OASIS","",0,10.00,8.00
"OR-215","Brahea Armata","Ornamentales","120 - 140","Viveros EL OASIS","",100,112.00,89.00
"OR-216","Brahea Edulis","Ornamentales","80 - 100","Viveros EL OASIS","",100,19.00,15.00
"OR-217","Brahea Edulis","Ornamentales","140 - 160","Viveros EL OASIS","",100,64.00,51.00
"OR-218","Butia Capitata","Ornamentales","70 - 90","Viveros EL OASIS","",100,25.00,20.00
"OR-219","Butia Capitata","Ornamentales","90 - 110","Viveros EL OASIS","",100,29.00,23.00
"OR-220","Butia Capitata","Ornamentales","90 - 120","Viveros EL OASIS","",100,36.00,28.00
"OR-221","Butia Capitata","Ornamentales","85 - 105","Viveros EL OASIS","",100,59.00,47.00
"OR-222","Butia Capitata","Ornamentales","130 - 150","Viveros EL OASIS","",100,87.00,69.00
"OR-223","Chamaerops Humilis","Ornamentales","40 - 45","Viveros EL OASIS","",100,4.00,3.00
"OR-224","Chamaerops Humilis","Ornamentales","50 - 60","Viveros EL OASIS","",100,7.00,5.00
"OR-225","Chamaerops Humilis","Ornamentales","70 - 90","Viveros EL OASIS","",100,10.00,8.00
"OR-226","Chamaerops Humilis","Ornamentales","115 - 130","Viveros EL OASIS","",100,38.00,30.00
"OR-227","Chamaerops Humilis","Ornamentales","130 - 150","Viveros EL OASIS","",100,64.00,51.00
"OR-228","Chamaerops Humilis \""Cerifera\""","Ornamentales","70 - 80","Viveros EL OASIS","",100,32.00,25.00
"OR-229","Chrysalidocarpus Lutescens -ARECA","Ornamentales","130 - 150","Viveros EL OASIS","",100,22.00,17.00
"OR-230","Cordyline Australis -DRACAENA","Ornamentales","190 - 210","Viveros EL OASIS","",100,38.00,30.00
"OR-231","Cycas Revoluta","Ornamentales","55 - 65","Viveros EL OASIS","",100,15.00,12.00
"OR-232","Cycas Revoluta","Ornamentales","80 - 90","Viveros EL OASIS","",100,34.00,27.00
"OR-233","Dracaena Drago","Ornamentales","60 - 70","Viveros EL OASIS","",1,13.00,10.00
"OR-234","Dracaena Drago","Ornamentales","130 - 150","Viveros EL OASIS","",2,64.00,51.00
"OR-235","Dracaena Drago","Ornamentales","150 - 175","Viveros EL OASIS","",2,92.00,73.00
"OR-236","Jubaea Chilensis","Ornamentales","","Viveros EL OASIS","",100,49.00,39.00
"OR-237","Livistonia Australis","Ornamentales","100 - 125","Viveros EL OASIS","",50,19.00,15.00
"OR-238","Livistonia Decipiens","Ornamentales","90 - 110","Viveros EL OASIS","",50,19.00,15.00
"OR-239","Livistonia Decipiens","Ornamentales","180 - 200","Viveros EL OASIS","",50,49.00,39.00
"OR-240","Phoenix Canariensis","Ornamentales","110 - 130","Viveros EL OASIS","",50,6.00,4.00
"OR-241","Phoenix Canariensis","Ornamentales","180 - 200","Viveros EL OASIS","",50,19.00,15.00
"OR-242","Rhaphis Excelsa","Ornamentales","80 - 100","Viveros EL OASIS","",50,21.00,16.00
"OR-243","Rhaphis Humilis","Ornamentales","150- 170","Viveros EL OASIS","",50,64.00,51.00
"OR-244","Sabal Minor","Ornamentales","60 - 75","Viveros EL OASIS","",50,11.00,8.00
"OR-245","Sabal Minor","Ornamentales","120 - 140","Viveros EL OASIS","",50,34.00,27.00
"OR-246","Trachycarpus Fortunei","Ornamentales","90 - 105","Viveros EL OASIS","",50,18.00,14.00
"OR-247","Trachycarpus Fortunei","Ornamentales","250-300","Viveros EL OASIS","",2,462.00,369.00
"OR-248","Washingtonia Robusta","Ornamentales","60 - 70","Viveros EL OASIS","",15,3.00,2.00
"OR-249","Washingtonia Robusta","Ornamentales","130 - 150","Viveros EL OASIS","",15,5.00,4.00
"OR-250","Yucca Jewel","Ornamentales","80 - 105","Viveros EL OASIS","",15,10.00,8.00
"OR-251","Zamia Furfuracaea","Ornamentales","90 - 110","Viveros EL OASIS","",15,168.00,134.00
"OR-99","Mimosa DEALBATA Gaulois Astier  ","Ornamentales","200-225","Viveros EL OASIS","Acacia dealbata. Nombre común o vulgar: Mimosa fina, Mimosa, Mimosa común, Mimosa plateada, Aromo francés. Familia: Mimosaceae. Origen: Australia, Sureste, (N. G. del Sur y Victoria). Arbol de follaje persistente muy usado en parques por su atractiva floración amarilla hacia fines del invierno. Altura: de 3 a 10 metros generalmente. Crecimiento rápido. Follaje perenne de tonos plateados, muy ornamental. Sus hojas son de textura fina, de color verde y sus flores amarillas que aparecen en racimos grandes. Florece de Enero a Marzo (Hemisferio Norte). Legumbre de 5-9 cm de longitud, recta o ligeramente curvada, con los bordes algo constreñidos entre las semillas, que se disponen en el fruto longitudinalmente...",100,14.00,11.00
